id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21302,Home in Fairhaven · ★4.90 · 4 bedrooms · 5 beds · 3.5 baths,81292,Laurel & Sue,,Surf Coast,-38.46329,144.09163,Entire home/apt,400,3,51,2023-01-18,0.49,5,78,4,
27561,Home in Jan Juc · 4 bedrooms · 6 beds · 2.5 baths,119103,Lynn,,Surf Coast,-38.34221,144.30398,Entire home/apt,350,5,2,2022-04-18,0.04,2,88,0,
70449,Home in Birregurra · ★4.83 · 2 bedrooms · 3 beds · 2 baths,357052,Craig,,Colac Otway,-38.32982,143.82842,Entire home/apt,296,1,52,2023-05-20,0.51,1,291,8,
84516,Home in Port Fairy · ★4.84 · 4 bedrooms · 4 beds · 2.5 baths,462049,David,,Moyne,-38.39149,142.22084,Entire home/apt,370,2,133,2023-06-09,1.19,1,282,16,
195168,Home in Lorne · ★4.82 · 3 bedrooms · 5 beds · 2 baths,899909,Tony,,Surf Coast,-38.54025,143.97139,Entire home/apt,600,2,28,2023-04-18,0.20,1,344,6,
291691,Place to stay in Barwon Heads · ★4.46 · 1 bedroom · 2 beds · 1 bath,1511087,Kim,,Greater Geelong,-38.27942,144.49073,Entire home/apt,79,2,74,2023-05-13,0.54,2,274,12,
372470,Home in Wensleydale · ★4.96 · 5 bedrooms · 11 beds · 2.5 baths,1875131,Charleson,,Surf Coast,-38.33816,144.02221,Entire home/apt,779,2,188,2023-06-24,2.00,1,276,42,
403682,Home in Aireys Inlet · ★4.75 · 3 bedrooms · 4 beds · 1.5 baths,246509,Fiona,,Surf Coast,-38.465721,144.099136,Entire home/apt,405,2,186,2023-04-13,1.33,1,178,4,
479888,Home in Lorne · ★4.68 · 3 bedrooms · 4 beds · 1 bath,2377195,Charles,,Surf Coast,-38.54855,143.95517,Entire home/apt,600,2,76,2023-05-22,0.85,5,209,12,
488344,Guest suite in Fairhaven · ★4.95 · 1 bedroom · 1 bed · 1 bath,2416415,Lise,,Surf Coast,-38.46413,144.09497,Entire home/apt,130,2,260,2023-05-31,3.02,2,230,53,
488599,Home in Geelong · ★4.83 · 3 bedrooms · 4 beds · 1.5 baths,2417695,Darren And Yolanda,,Greater Geelong,-38.15406,144.35685,Entire home/apt,313,1,278,2023-04-16,2.33,5,307,1,
606687,Rental unit in Point Lonsdale · ★4.94 · 1 bedroom · 1 bed · 1 bath,3005560,John & Suzy,,Queenscliffe,-38.2825,144.61339,Entire home/apt,253,2,344,2023-06-18,2.62,1,126,35,
675196,Rental unit in North Geelong · ★4.89 · 1 bedroom · 1 bed · 1 bath,3429566,Jo,,Greater Geelong,-38.12033,144.35596,Entire home/apt,135,1,234,2023-06-10,2.04,1,75,37,
697087,Rental unit in Lorne · ★4.80 · 3 bedrooms · 6 beds · 2.5 baths,3570625,Kim,,Surf Coast,-38.527565,143.982712,Entire home/apt,431,3,145,2023-06-26,1.13,3,82,18,
765554,Home in Fairhaven · ★4.75 · 3 bedrooms · 7 beds · 1.5 baths,4036595,Irene,,Surf Coast,-38.46616,144.08272,Entire home/apt,230,2,138,2023-05-22,1.08,1,26,25,
785467,Rental unit in Marengo · ★4.58 · 2 bedrooms · 2 beds · 1.5 baths,4140800,Stuart,,Colac Otway,-38.77916,143.66466,Entire home/apt,231,1,225,2023-06-12,1.77,1,356,35,
841336,Home in Lara · ★4.68 · 1 bedroom · 2 beds · 1.5 baths,4393951,Janita,,Greater Geelong,-38.01528,144.40169,Private room,250,1,23,2022-12-18,0.20,1,364,2,
847397,Townhouse in Lorne · ★4.16 · 2 bedrooms · 2 beds · 1 bath,459921,Lorraine,,Surf Coast,-38.5301,143.98119,Entire home/apt,350,2,64,2022-04-24,0.50,3,203,0,
850562,Rental unit in Geelong · ★4.71 · 2 bedrooms · 3 beds · 1 bath,2417695,Darren And Yolanda,,Greater Geelong,-38.1471,144.37349,Entire home/apt,190,1,162,2023-03-26,1.40,5,303,5,
853375,Home in Point Lonsdale · ★4.88 · 2 bedrooms · 2 beds · 1 bath,4456031,Fiona,,Queenscliffe,-38.27055,144.61555,Entire home/apt,195,3,66,2023-03-25,0.63,1,286,14,
855501,Home in Deans Marsh · ★4.66 · 3 bedrooms · 3 beds · 1 bath,4069063,Deborah,,Surf Coast,-38.39517,143.88749,Entire home/apt,161,2,125,2023-05-21,0.99,1,112,20,
858408,Guesthouse in Lorne · ★4.39 · 2 bedrooms · 2 beds · 1 bath,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,290,2,81,2023-05-22,0.65,3,261,2,
859859,Home in Lorne · ★4.36 · 3 bedrooms · 5 beds · 2 baths,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,450,2,117,2023-06-12,0.93,3,246,14,
890837,Home in Jan Juc · ★4.79 · 1 bedroom · 1 bed · 1 private bath,4731549,Marian,,Surf Coast,-38.35578,144.28283,Private room,195,1,218,2023-05-21,1.72,1,357,19,
902612,Rental unit in Forrest · ★4.96 · 1 bedroom · 1 bed · 1 bath,4824121,Carol,,Colac Otway,-38.51349,143.73032,Entire home/apt,240,2,24,2023-01-07,0.19,2,118,1,
