id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46609,Cabin in Suffolk Park · ★4.98 · 1 bedroom · 1 bed · 1 bath,208641,Glen,,BYRON SHIRE COUNCIL,-28.689501,153.61116,Entire home/apt,133,3,52,2023-05-18,0.60,1,210,8,PID-STRA-30079
59459,Townhouse in MacLean · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,285576,Liz,,CLARENCE VALLEY COUNCIL,-29.45858,153.20414,Private room,70,1,266,2023-06-10,1.79,1,178,43,
111036,Rental unit in Kingscliff · ★4.88 · 1 bedroom · 1 bed · 1 bath,569563,Tricia,,TWEED SHIRE COUNCIL,-28.27593,153.57632,Entire home/apt,170,2,208,2023-06-05,1.50,1,188,25,Exempt
113407,Home in The Pocket · ★4.94 · 2 bedrooms · 2 beds · 1 bath,576938,Jo,,BYRON SHIRE COUNCIL,-28.51435,153.49339,Entire home/apt,360,3,38,2023-04-03,0.27,1,171,5,PID-STRA-32634
259951,Farm stay in Rosebank · ★5.0 · 4 bedrooms · 5 beds · 2 baths,1340489,Ann-Marie,,LISMORE CITY COUNCIL,-28.68612,153.38951,Entire home/apt,600,5,17,2023-06-16,0.15,1,342,2,Exempt
308696,Vacation home in Pottsville · ★4.38 · 3 bedrooms · 4 beds · 1 bath,1587627,Jayme,,TWEED SHIRE COUNCIL,-28.3892,153.56233,Entire home/apt,220,2,42,2023-05-05,0.56,1,215,13,PID-STRA-42132
340699,Rental unit in Byron Bay · ★4.75 · 3 bedrooms · 4 beds · 2.5 baths,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.6515,153.61361,Entire home/apt,714,3,49,2023-04-16,0.37,151,301,6,PID-STRA-31848
346741,Rental unit in Suffolk Park · ★4.87 · 1 bedroom · 1 bed · 0 shared baths,1680858,Mary,,BYRON SHIRE COUNCIL,-28.69078,153.60428,Private room,160,2,15,2023-04-08,0.11,3,352,1,
366697,Cabin in Federal · ★4.75 · 1 bedroom · 1 bed · 1 bath,1851401,Kim,,BYRON SHIRE COUNCIL,-28.63959,153.43568,Entire home/apt,200,90,71,2022-02-26,0.53,1,352,0,PID-STRA-30060
399928,Home in Byron Bay · ★4.79 · 3 bedrooms · 3 beds · 2 baths,1996249,Frederique,,BYRON SHIRE COUNCIL,-28.65369,153.62037,Entire home/apt,507,5,44,2023-04-10,0.34,1,199,4,Exempt
410733,Home in Ocean Shores · ★4.82 · 1 bedroom · 2 beds · 1 bath,2034145,Al,,BYRON SHIRE COUNCIL,-28.49026107788086,153.54681396484375,Entire home/apt,280,4,88,2023-01-02,0.69,1,356,3,PID-STRA-29797
428075,Home in Bilambil · ★5.0 · 1 bedroom · 1 bed · 1 bath,2127754,Estelle,,TWEED SHIRE COUNCIL,-28.21852,153.47789,Entire home/apt,135,2,17,2023-06-11,0.13,2,144,15,PID-STRA-40399
515349,Tiny home in Pearces Creek · ★4.68 · 2 bedrooms · 3 beds · 1 bath,2538287,Justine,,LISMORE CITY COUNCIL,-28.77908,153.43183,Entire home/apt,100,2,196,2023-06-05,1.50,1,72,15,PID-STRA-36363
550619,Rental unit in Byron Bay · ★4.84 · 2 bedrooms · 4 beds · 2.5 baths,2706340,Elaine,,BYRON SHIRE COUNCIL,-28.6433,153.61406,Entire home/apt,236,3,329,2023-06-18,4.00,10,216,36,PID-STRA-30972
557918,Home in Byron Bay · ★4.46 · 3 bedrooms · 4 beds · 2 baths,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64817,153.61819,Entire home/apt,894,3,27,2023-04-02,0.26,151,247,6,PID-STRA-31134
562848,Home in Byron Bay · ★4.69 · 4 bedrooms · 6 beds · 2 baths,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64472,153.62187,Entire home/apt,995,3,16,2023-03-13,0.22,151,263,3,PID-STRA-31135
563012,Home in Ewingsdale · ★4.65 · 3 bedrooms · 4 beds · 2 baths,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.63627,153.55581,Entire home/apt,773,3,17,2023-02-11,0.18,151,335,2,PID-STRA-32247
563082,Home in Byron Bay · ★4.94 · 5 bedrooms · 7 beds · 2.5 baths,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.64118,153.60847,Entire home/apt,1002,3,34,2023-05-15,0.34,151,262,8,PID-STRA-35971
